test	run1	run2	run3	verdict	cause
FuzzyTapTest.tap1(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[11]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[12]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[13]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[14]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[15]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[1]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[2]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[3]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[4]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1a(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[11]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[12]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[13]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[14]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[15]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[1]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[2]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[3]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[4]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[11]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[12]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[13]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[14]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[15]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[1]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[2]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[3]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[4]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap2a(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[11]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[12]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[13]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[14]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[15]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[1]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[2]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[3]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[4]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap3b(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
HeadlessGeometry1Test.setScreenBounds	PASS	PASS	PASS	stable-pass	
HeadlessGeometry2Test.setScreenBounds	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testMultiTouch(TestTouchDevice)[11]	PASS	PASS	PASS	stable-pass	
